# TIPO,LOGRADOURO,BAIRRO,CIDADE
PRACA,FLORIANO PEIXOTO,SANTA EFIGENIA,BELO HORIZONTE
RUA,MARECHAL FOCH,GRAJAU,BELO HORIZONTE
RUA,MARECHAL GUALBERTO,RIBEIRO DE ABREU,BELO HORIZONTE
RUA,MARECHAL HENRIQUE LOTT,TUPI A,BELO HORIZONTE
RUA,MARECHAL TEIXEIRA LOTT,CACHOEIRINHA,BELO HORIZONTE
RUA,MARECHAL JOFRE,NOVA GRANADA,BELO HORIZONTE
RUA,MARECHAL RONDON,PRIMEIRO DE MAIO,BELO HORIZONTE
RUA,MARECHAL RONDON,PLANALTO,BELO HORIZONTE
RUA,MARFIM,PINDORAMA,BELO HORIZONTE
RUA,MARFISA DE SOUZA RAPOSO,DOM SILVERIO,BELO HORIZONTE
RUA,MARGARIDA ARAUJO,NOVO DAS INDUSTRIAS (BARREIRO),BELO HORIZONTE
RUA,MARGARIDA ASSIS FONSECA,CALIFORNIA,BELO HORIZONTE
RUA,MARGARIDA COSTA RODRIGUES,MINASCAIXA,BELO HORIZONTE
RUA,MARGARIDA MARIA DAMASCENO,MINASCAIXA,BELO HORIZONTE
RUA,MARGARIDA LEANDRO ALVES,LAGOA,BELO HORIZONTE
RUA,MARGARIDA MARIA DE CARVALHO,BETANIA,BELO HORIZONTE
RUA,MARGARIDA PRAXEDES TORRES,NOVA ESPERANCA,BELO HORIZONTE
RUA,MARGARIDAS,ERMELINDA,BELO HORIZONTE
BECO,DA MARGARIDA,VERA CRUZ,BELO HORIZONTE
RUA,DAS MARGARIDA,JARDIM ATLANTICO,BELO HORIZONTE
RUA,MARIA,SANTA MARIA,BELO HORIZONTE
RUA,MARIA ADELAIDE,PRIMEIRO DE MAIO,BELO HORIZONTE
RUA,MARIA AGRIPINA DOS SANTOS,DAS INDUSTRIAS I (BARREIRO),BELO HORIZONTE
RUA,MARIA ALEIXA DE ABREU,GOIANIA,BELO HORIZONTE
RUA,MARIA ALINE LOPES,PIRATININGA (VENDA NOVA),BELO HORIZONTE
RUA,MARIA ALVES,CARMO,BELO HORIZONTE
RUA,MARIA AMBROSIA DE SA,JAQUELINE,BELO HORIZONTE
RUA,MARIA AMELIA NAZARE,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,MARIA ANALIA DE MELO,SANTA EFIGENIA,BELO HORIZONTE
RUA,MARIA ANGELINA MIRANDA,MARIA GORETTI,BELO HORIZONTE
RUA,MARIA ANTONIA FRAGOLA,CAMARGOS,BELO HORIZONTE
RUA,MARIA ANTONIETA FERREIRA,INDEPENDENCIA (BARREIRO),BELO HORIZONTE
RUA,MARIA ANTONINA ALVES,SAO JOAO BATISTA (VENDA NOVA),BELO HORIZONTE
RUA,MARIA APARECIDA,SAO MARCOS,BELO HORIZONTE
RUA,MARIA APARECIDA COELHO,MANTIQUEIRA,BELO HORIZONTE
RUA,MARIA APARECIDA SANTOS,SANTA CRUZ,BELO HORIZONTE
RUA,MARIA AUTA,PALMEIRAS,BELO HORIZONTE
RUA,MARIA AUXILIADORA,PIRAJA,BELO HORIZONTE
RUA,MARIA AUXILIADORA BARCELOS,SALGADO FILHO,BELO HORIZONTE
RUA,MARIA AUXILIADORA GOMES,MINASCAIXA,BELO HORIZONTE
RUA,MARIA AZEVEDO COSTA,MARIA GORETTI,BELO HORIZONTE
RUA,MARIA BARONI JARDIM,SAUDADE,BELO HORIZONTE
RUA,MARIA BEATRIZ,HAVAI,BELO HORIZONTE
RUA,MARIA BLEME,TEIXEIRA DIAS (BARREIRO),BELO HORIZONTE
RUA,MARIA BORBOLETA,JARDIM DOS COMERCIARIOS (VENDA NOVA),BELO HORIZONTE
RUA,MARIA CANDIDA,SAO TOMAZ,BELO HORIZONTE
RUA,MARIA CANDIDA CERQUEIRA,SANTA AMELIA,BELO HORIZONTE
RUA,MARIA CANDIDA DE ALMEIDA,DIAMANTE (BARREIRO),BELO HORIZONTE
RUA,MARIA CANDIDA DE JESUS,PAQUETA,BELO HORIZONTE
RUA,MARIA CANDIDA DINIZ,OURO PRETO,BELO HORIZONTE
RUA,MARIA CARMEM VALADARES,SANTA EFIGENIA,BELO HORIZONTE
RUA,MARIA CECILIA,SANTA TEREZINHA,BELO HORIZONTE
RUA,MARIA CESAREA MOREIRA,CEU AZUL,BELO HORIZONTE
RUA,MARIA COLARES PACHECO,DIAMANTE (BARREIRO),BELO HORIZONTE
RUA,MARIA CONCEICAO BONFIM,GOIANIA,BELO HORIZONTE
RUA,MARIA CONCEICAO DE FREITAS,MADRI,BELO HORIZONTE
RUA,MARIA CUNHA MAGALHAES,GOIANIA,BELO HORIZONTE
RUA,MARIA DA CONCEICAO DE JESUS,JAQUELINE,BELO HORIZONTE
RUA,MARIA DA CONCEICAO DE SOUZA,SERRANO,BELO HORIZONTE
RUA,MARIA DA CONCEICAO OLIVEIRA,MANTIQUEIRA,BELO HORIZONTE
RUA,MARIA DA CONCEICAO PATRUS,SANTA AMELIA,BELO HORIZONTE
RUA,MARIA DA GLORIA COIMBRA,JAQUELINE,BELO HORIZONTE
RUA,MARIA DA GLORIA DA CONCEICAO,MINASCAIXA,BELO HORIZONTE
RUA,MARIA DA SILVEIRA,GLORIA,BELO HORIZONTE
RUA,MARIA DAS GRACAS,MARIA GORETTI,BELO HORIZONTE
RUA,MARIA DAS GRACAS,SAO MARCOS,BELO HORIZONTE
RUA,MARIA DAS GRACAS TEIXEIRA,SERRANO,BELO HORIZONTE
RUA,MARIA DAS MERCES E SILVA,TIROL (BARREIRO),BELO HORIZONTE
RUA,MARIA DAS VIRGENS DE OLIVEIRA,MANTIQUEIRA,BELO HORIZONTE
RUA,MARIA DE CARVALHO,IPIRANGA,BELO HORIZONTE
RUA,MARIA DE FATIMA,CANDELARIA,BELO HORIZONTE
RUA,MARIA DE FATIMA,DOM SILVERIO,BELO HORIZONTE
RUA,MARIA DE LOURDES CAMELO,ALTO CAICARAS,BELO HORIZONTE
RUA,MARIA DE LOURDES DA CRUZ,MANTIQUEIRA,BELO HORIZONTE
RUA,MARIA DE LOURDES DE PINHO,JARDIM VITORIA,BELO HORIZONTE
RUA,MARIA DE LOURDES FARIA,LETICIA,BELO HORIZONTE
RUA,MARIA DE MELO,LAGOINHA,BELO HORIZONTE
RUA,MARIA DE OLIVEIRA,MONTE AZUL,BELO HORIZONTE
RUA,MARIA DE SOUZA ALVES,MANACAS,BELO HORIZONTE
RUA,MARIA DELFINA,NOVA CINTRA,BELO HORIZONTE
RUA,MARIA DELFINA,CINQUENTENARIO,BELO HORIZONTE
PRACA,MARIA DEUSA MARRA,JARDIM ATLANTICO,BELO HORIZONTE
RUA,MARIA DINELLI MENEZES,ESTRELA DO ORIENTE,BELO HORIZONTE
RUA,DONA MARIA DINIZ FERREIRA,HAVAI,BELO HORIZONTE
RUA,MARIA DO CARMO,MIRAMAR (BARREIRO),BELO HORIZONTE
PRACA,MARIA DO SABIA,JARDIM GUANABARA,BELO HORIZONTE
RUA,MARIA DORICA DOS SANTOS,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,MARIA EFIGENIA,JULIANA,BELO HORIZONTE
RUA,MARIA ELIZABET PESSOA,DIAMANTE (BARREIRO),BELO HORIZONTE
RUA,MARIA EUSTAQUIA DE SOUZA,JARDIM GUANABARA,BELO HORIZONTE
RUA,MARIA EUZEBIA,NOVA GAMELEIRA,BELO HORIZONTE
RUA,MARIA FELICIA,SANTA TEREZINHA,BELO HORIZONTE
RUA,MARIA FELIPE DE ARAUJO,SANTA EFIGENIA,BELO HORIZONTE
RUA,MARIA FERREIRA DA SILVA,FERNAO DIAS,BELO HORIZONTE
RUA,MARIA FERREIRA SANTOS,PLANALTO,BELO HORIZONTE
RUA,MARIA FLORIPES,RIO BRANCO,BELO HORIZONTE
RUA,MARIA FRANCISCA,BOA VISTA,BELO HORIZONTE
RUA,MARIA FRANCISCA DE CARVALHO,CALIFORNIA,BELO HORIZONTE
RUA,MARIA FRANCISCA DE SALES,MADRI,BELO HORIZONTE
RUA,MARIA FRANCISCA GOMES,OURO PRETO,BELO HORIZONTE
RUA,MARIA GERALDA LOPES,CANDELARIA,BELO HORIZONTE
RUA,MARIA GERALDA PAULINO,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,MARIA GERTRUDES SANTOS,CEU AZUL,BELO HORIZONTE
RUA,MARIA GOMES CORREA,LIBERDADE,BELO HORIZONTE
RUA,MARIA GONCALVES BRAGA,SANTA AMELIA,BELO HORIZONTE
RUA,MARIA GORETI,CONJUNTO TAQUARIL,BELO HORIZONTE
RUA,MARIA HEILBUTH SURETTE,BURITIS,BELO HORIZONTE
RUA,MARIA HELENA,CANDELARIA,BELO HORIZONTE
RUA,MARIA HELENA,LAGOA,BELO HORIZONTE
RUA,MARIA HELENA FELIPE,LETICIA,BELO HORIZONTE
RUA,MARIA HELENA MARQUES,MINASCAIXA,BELO HORIZONTE
RUA,MARIA HELENA PONTES,BEIJA FLOR,BELO HORIZONTE
RUA,MARIA HELENA ROCHA,TUPI B,BELO HORIZONTE
RUA,MARIA INACIA DA SILVA,GUARANI,BELO HORIZONTE
RUA,DONA MARIA IGNEZ,FLORESTA,BELO HORIZONTE
RUA,MARIA INES COSTA,AARAO REIS,BELO HORIZONTE
RUA,MARIA INES COSTA,TUPI B,BELO HORIZONTE
RUA,MARIA IZABEL DA SILVA,MANTIQUEIRA,BELO HORIZONTE
RUA,MARIA IZABEL CURTY,CONJUNTO ADEMAR MALDONADO (BARREIRO),BELO HORIZONTE
PRACA,MARIA IZABEL DECAT,JARDIM AMERICA,BELO HORIZONTE
RUA,MARIA JACINTA,JARDIM VITORIA,BELO HORIZONTE
RUA,MARIA JOANA TAVARES,GOIANIA,BELO HORIZONTE
RUA,MARIA JOSE,LAGOA,BELO HORIZONTE
RUA,MARIA JOSE ALCHAAR,JARDIM DOS COMERCIARIOS (VENDA NOVA),BELO HORIZONTE
RUA,MARIA JOSE ASSUMPCAO,JARDINOPOLIS,BELO HORIZONTE
RUA,MARIA JOSE DE JESUS,CAMARGOS,BELO HORIZONTE
RUA,MARIA JOSE FERNANDES,TEIXEIRA DIAS (BARREIRO),BELO HORIZONTE
RUA,MARIA JOSE HORTA,MARIA HELENA,BELO HORIZONTE
PRACA,MARIA JOSE LAVIOLA,GRAJAU,BELO HORIZONTE
RUA,MARIA JOSE MENDONCA,CONJUNTO TAQUARIL,BELO HORIZONTE
AVE,MARIA JULIA DE LIMA,BETANIA,BELO HORIZONTE
RUA,MARIA LETICIA,NOVO DAS INDUSTRIAS (BARREIRO),BELO HORIZONTE
RUA,MARIA LOPES DA SILVA,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,MARIA LUCIA GARCIA,SAO MARCOS,BELO HORIZONTE
RUA,MARIA LUCIA PETIT,RIO BRANCO,BELO HORIZONTE
RUA,MARIA LUCINDA,JOAO PINHEIRO,BELO HORIZONTE
PRACA,MARIA LUIZA VIGANO,CORACAO EUCARISTICO,BELO HORIZONTE
RUA,MARIA LUZIA,JARDIM PIRINEUS,BELO HORIZONTE
RUA,MARIA LUZIA MELO,SANTA CRUZ,BELO HORIZONTE
RUA,MARIA MADALENA DE SOUZA,MADRI,BELO HORIZONTE
RUA,MARIA MACAFERRI,SANTA EFIGENIA,BELO HORIZONTE
RUA,MARIA MAGDALENA CAMARGOS,JARDINOPOLIS,BELO HORIZONTE
RUA,MARIA MAGALHAES DE SOUZA,INCONFIDENCIA,BELO HORIZONTE
PRACA,MARIA MAGDALENA CAMARGOS,JARDINOPOLIS,BELO HORIZONTE
RUA,MARIA MANOELA BRAZ,HELIOPOLIS,BELO HORIZONTE
RUA,MARIA MANUELA DO VALE,ESTRELA DO ORIENTE,BELO HORIZONTE
RUA,MARIA MARCELINA ALVES,MANTIQUEIRA,BELO HORIZONTE
RUA,MARIA MARCOLINA SILVA,SANTA CRUZ (BARREIRO),BELO HORIZONTE
RUA,MARIA MARTINS,JULIANA,BELO HORIZONTE
RUA,MARIA MARTINS ANDRADE,PLANALTO,BELO HORIZONTE
RUA,MARIA MARTINS DE SOUZA,RIO BRANCO,BELO HORIZONTE
RUA,MARIA MARTINS LIMA,BETANIA,BELO HORIZONTE
RUA,MARIA MIRTES FIDELIS,MANTIQUEIRA,BELO HORIZONTE
RUA,MARIA MORAIS DA SILVA,DIAMANTE (BARREIRO),BELO HORIZONTE
RUA,MARIA MOREIRA REIS,ITAPOA,BELO HORIZONTE
RUA,MARIA NAZARE,NAZARE,BELO HORIZONTE
RUA,MARIA OLIVEIRA DE SOUZA,JARDIM GUANABARA,BELO HORIZONTE
RUA,MARIA ONOFRE LARA,TIROL (BARREIRO),BELO HORIZONTE
RUA,MARIA ORTIZ,PRIMEIRO DE MAIO,BELO HORIZONTE
RUA,MARIA PASCHOAL GATTI,BARREIRO,BELO HORIZONTE
BECO,MARIA PEREIRA,MORRO DO PAPAGAIO,BELO HORIZONTE
BECO,MARIA PEREIRA,VILA BARRAGEM SANTA LUCIA,BELO HORIZONTE
RUA,MARIA PEREIRA DE ARAUJO,CASTELO,BELO HORIZONTE
RUA,MARIA PEREIRA DAMASCENO,CONJUNTO RENATO ERNESTO VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,MARIA PEREZ BALLESTEROS,TIROL (BARREIRO),BELO HORIZONTE
RUA,MARIA PETERS,VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,MARIA PIETRA MACHADO,SAO PAULO,BELO HORIZONTE
RUA,MARIA POLICARPO,JAQUELINE,BELO HORIZONTE
RUA,MARIA REGINA DE JESUS,CEU AZUL,BELO HORIZONTE
BECO,MARIA REDUZINA,SERRA,BELO HORIZONTE
RUA,MARIA RITA,IPIRANGA,BELO HORIZONTE
ALAMEDA,MARIA RITA BURNIER,CASTANHEIRA II VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,MARIA ROMUALDA DETA LOND,BONSUCESSO (BARREIRO),BELO HORIZONTE
RUA,MARIA ROSA DEDE,CONJUNTO RENATO ERNESTO VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,MARIA ROSA DA SILVA,MANTIQUEIRA,BELO HORIZONTE
RUA,MARIA ROSA DE MIRANDA,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,MARIA ROSA SALES,NOVA CINTRA,BELO HORIZONTE
BECO,MARIA ROXINHA,SAO JORGE,BELO HORIZONTE
RUA,MARIA SILVIA,SINIMBU,BELO HORIZONTE
RUA,MARIA TOLEDO PAIVA,SAO GABRIEL,BELO HORIZONTE
RUA,MARIA UMBELINA NASCIMENTO,BETANIA,BELO HORIZONTE
RUA,MARIA VAZ DE MELO,DONA CLARA,BELO HORIZONTE
AVE,MARIA VIEIRA BARBOSA,LETICIA,BELO HORIZONTE
PRACA,MARIA VILAS BOAS,MANTIQUEIRA,BELO HORIZONTE
RUA,MARIA VIRGINIA,CONJUNTO TAQUARIL,BELO HORIZONTE
RUA,MARIA VIRGINIA DE JESUS,JAQUELINE,BELO HORIZONTE
RUA,MARIA VITALINA DE JESUS,JAQUELINE,BELO HORIZONTE
RUA,MARIA VITORIA,NOVA VISTA,BELO HORIZONTE
BECO,DAS MARIAS,VILA BARRAGEM SANTA LUCIA,BELO HORIZONTE
RUA,MARIANA,BONFIM,BELO HORIZONTE
RUA,MARIANA AMELIA DE AZEVEDO,SAO JOAO BATISTA (VENDA NOVA),BELO HORIZONTE
RUA,MARIANA BARCELOS,APARECIDA,BELO HORIZONTE
RUA,MARIANA OLIVEIRA TAVARES,OURO PRETO,BELO HORIZONTE
RUA,MARIANITA,ALIPIO DE MELO,BELO HORIZONTE
BECO,MARIANO,SAO CRISTOVAO,BELO HORIZONTE
RUA,MARIANO DE ABREU,ESPLANADA,BELO HORIZONTE
RUA,MARIANO GUIMARAES,RIBEIRO DE ABREU,BELO HORIZONTE
RUA,DAS MARIAS,PIRAJA,BELO HORIZONTE
RUA,MARICA,SAO GABRIEL,BELO HORIZONTE
RUA,MARIETA ALEXANDRINA DE MACEDO,MINASCAIXA,BELO HORIZONTE
RUA,MARIETA CLEMENTE DINIZ,TUPI B,BELO HORIZONTE
RUA,MARIETA MACHADO,CACHOEIRINHA,BELO HORIZONTE
RUA,MARIETA MELLO DE AZEVEDO,DOM JOAQUIM,BELO HORIZONTE
RUA,MARIETA MELLO DE AZEVEDO,FERNAO DIAS,BELO HORIZONTE
RUA,MARILAC,SANTA INES,BELO HORIZONTE
RUA,MARILANDIA,RIBEIRO DE ABREU,BELO HORIZONTE
RUA,MARILDA,FLAVIO MARQUES LISBOA (BARREIRO),BELO HORIZONTE
RUA,MARILIA,RENASCENCA,BELO HORIZONTE
RUA,MARILIA DE DIRCEU,LOURDES,BELO HORIZONTE
RUA,MARILIA DE DIRCEU,BEIJA FLOR,BELO HORIZONTE
RUA,MARINA COTTA,INDAIA,BELO HORIZONTE
RUA,MARINGA,MILIONARIOS (BARREIRO),BELO HORIZONTE
BECO,DO MARINHO,NOVA SUISSA,BELO HORIZONTE
PRACA,MARINO MENDES CAMPOS,ANCHIETA,BELO HORIZONTE
RUA,MARIO ALVES,TIROL (BARREIRO),BELO HORIZONTE
RUA,MARIO BATISTA DA COSTA,PLANALTO,BELO HORIZONTE
RUA,MARIO BENTO DA SILVA,VILA RICA,BELO HORIZONTE
RUA,MARIO COUTINHO,HAVAI,BELO HORIZONTE
RUA,MARIO DE ANDRADE,SANTA BRANCA,BELO HORIZONTE
RUA,MARIO DE ANDRADE GOMES,SAGRADA FAMILIA,BELO HORIZONTE
RUA,MARIO DE LIMA,SANTA CRUZ,BELO HORIZONTE
RUA,MARIO DE MELO,ALIPIO DE MELO,BELO HORIZONTE
RUA,MARIO DUFLLES,BARREIRO,BELO HORIZONTE
RUA,MARIO FILHO,APARECIDA,BELO HORIZONTE
RUA,MARIO GOMES DOS REIS,CARDOSO (BARREIRO),BELO HORIZONTE
RUA,MARIO JOFRE DE FREITAS,JARDIM ATLANTICO,BELO HORIZONTE
RUA,MARIO JOSE FRANCISCO,BETANIA,BELO HORIZONTE
RUA,MARIO MACHADO,NAZARE,BELO HORIZONTE
RUA,MARIO MARTINS,POMPEIA,BELO HORIZONTE
RUA,MARIO MENDES CAMPOS,CASTELO,BELO HORIZONTE
RUA,MARIO MOREIRA,SAO FRANCISCO,BELO HORIZONTE
RUA,MARIO PALMERIO,NOSSA SENHORA DE FATIMA,BELO HORIZONTE
RUA,MARIO PEDERNEIRAS,SANTA MONICA,BELO HORIZONTE
RUA,MARIO PINHEIRO DE SOUZA,SERRANO,BELO HORIZONTE
RUA,MARIO RAMOS NETO,SANTA BRANCA,BELO HORIZONTE
RUA,MARIO ROCHA CASTRO,SANTA HELENA (BARREIRO),BELO HORIZONTE
RUA,MARIO SALUSTIANO,GOIANIA,BELO HORIZONTE
RUA,MARIO SOARES,DOM BOSCO,BELO HORIZONTE
RUA,MARIO DA COSTA TOURINHO,MANGABEIRAS,BELO HORIZONTE
RUA,MARIO VENTURA MARINHO,HORTO FLORESTAL,BELO HORIZONTE
BECO,MARIO ZAGO,DIAMANTE (BARREIRO),BELO HORIZONTE
RUA,DEZESSEIS,TIROL (BARREIRO),BELO HORIZONTE
RUA,MARIPA,SERRA,BELO HORIZONTE
RUA,MARISTELA MARQUES,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,DAS MAITACAS,VILA CLORIS,BELO HORIZONTE
RUA,MARLENE MENDES PEREIRA,CEU AZUL,BELO HORIZONTE
RUA,MARLEY MOURA ABREU,CONJUNTO RENATO ERNESTO VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,MARLIERIA,SANTA INES,BELO HORIZONTE
RUA,MARLY PASSOS,CONJUNTO TUNEL IBIRITE (BARREIRO),BELO HORIZONTE
RUA,MARMELOPOLIS,SANTA ROSA,BELO HORIZONTE
RUA,DOS MARMELOS,VILA CLORIS,BELO HORIZONTE
RUA,MARMORE,SANTA TERESA,BELO HORIZONTE
RUA,MARQUES DA SILVA,HAVAI,BELO HORIZONTE
RUA,MARQUES DE BARBACENA,SAUDADE,BELO HORIZONTE
RUA,MARQUES DE HERVAL,ITATIAIA,BELO HORIZONTE
RUA,MARQUES DE MARICA,SANTO ANTONIO,BELO HORIZONTE
RUA,MARQUES DE PARANA,ITATIAIA,BELO HORIZONTE
RUA,MARQUES DO PARANAGUA,SANTO ANTONIO,BELO HORIZONTE
AVE,MARQUES DE VALENCA,GUTIERREZ,BELO HORIZONTE
RUA,MARQUES DO LAVRADIO,ALTO DOS PINHEIROS,BELO HORIZONTE
RUA,MARQUES REBELO,CAMARGOS,BELO HORIZONTE
RUA,MARQUESA DE ALORNA,SAO LUCAS,BELO HORIZONTE
RUA,MARQUESA DE SANTOS,MINASLANDIA (P MAIO),BELO HORIZONTE
RUA,MARROCOS,CANAA,BELO HORIZONTE
RUA,MARROCOS,JARDIM LEBLON,BELO HORIZONTE
RUA,MARROCOS,ITAIPU (BARREIRO),BELO HORIZONTE
RUA,MARROCOS FILHO,JARDIM VITORIA,BELO HORIZONTE
RUA,MARSELHA,SANTA LUCIA,BELO HORIZONTE
RUA,MARSELHESA,BONSUCESSO (BARREIRO),BELO HORIZONTE
RUA,MARTA COSTA DA SILVA,TUPI B,BELO HORIZONTE
RUA,MARTA GONCALVES CAMILA,CONJUNTO LAGOA,BELO HORIZONTE
RUA,MARTE,SANTA LUCIA,BELO HORIZONTE
RUA,MARTIM AFONSO DE SOUZA,GLORIA,BELO HORIZONTE
RUA,MARTIM FRANCISCO ANDRADA,MINEIRAO,BELO HORIZONTE
RUA,MARTIM PESCADOR,VILA CLORIS,BELO HORIZONTE
RUA,MARTINHO,GOIANIA,BELO HORIZONTE
RUA,MARTINHO CAMPOS,CRUZEIRO,BELO HORIZONTE
RUA,MARTINHO CAMPOS,CONJUNTO ADEMAR MALDONADO (BARREIRO),BELO HORIZONTE
RUA,MARTINHO DE MENDONCA,NOVA CACHOEIRINHA,BELO HORIZONTE
RUA,MARTINICA,SANTA BRANCA,BELO HORIZONTE
RUA,MARTINS ALVES,NOVA ESPERANCA,BELO HORIZONTE
RUA,MARTINS FONTES,SANTA MARIA,BELO HORIZONTE
RUA,MARTINS SOARES,VISTA ALEGRE,BELO HORIZONTE
RUA,MARTITO,FLORESTA,BELO HORIZONTE
RUA,MARY APARECIDA,JARDIM SAO JOSE,BELO HORIZONTE
AVE,MARZAGANIA,CASA BRANCA,BELO HORIZONTE
RUA,MARZAGANIA,BOA VISTA,BELO HORIZONTE
RUA,MARZAGANIA,GRANJA DE FREITAS,BELO HORIZONTE
RUA,MARZAGAO,RENASCENCA,BELO HORIZONTE
RUA,MASCARENHAS DE MORAIS,SAO LUIZ,BELO HORIZONTE
RUA,MATA DA CORDA,MANGABEIRAS,BELO HORIZONTE
RUA,MATEUS LEME,ERMELINDA,BELO HORIZONTE
RUA,MATIAS AIRES,SANTA MARIA,BELO HORIZONTE
RUA,MATIAS CARDOSO,SANTO AGOSTINHO,BELO HORIZONTE
RUA,MATIAS D'ESSA,JARDINOPOLIS,BELO HORIZONTE
RUA,MATIAS DE ALBUQUERQUE,CAMPO ALEGRE,BELO HORIZONTE
RUA,MATILDES AUGUSTA DE JESUS,DIAMANTE (BARREIRO),BELO HORIZONTE
RUA,MATIPO,SANTO ANTONIO,BELO HORIZONTE
RUA,MATO GROSSO,BARRO PRETO,BELO HORIZONTE
RUA,MATO GROSSO,SANTO AGOSTINHO,BELO HORIZONTE
RUA,MATO VERDE,SANTA ROSA,BELO HORIZONTE
RUA,MATOS DA SILVEIRA,IPIRANGA,BELO HORIZONTE
RUA,MATOZINHOS,PRADO,BELO HORIZONTE
BECO,MATRIZ,JARDIM AMERICA,BELO HORIZONTE
PRACA,DA MATRIZ,VENDA NOVA,BELO HORIZONTE
RUA,DA MATRIZ,VENDA NOVA,BELO HORIZONTE
ALAMEDA,MATURI,DOM CABRAL,BELO HORIZONTE
RUA,MATUTINA,SANTA INES,BELO HORIZONTE
RUA,MARCELO ROBSON DOS SANTOS,BRASIL INDUSTRIAL (BARREIRO),BELO HORIZONTE
RUA,MAURA,IPIRANGA,BELO HORIZONTE
AVE,MAURETTE JOSE DOS SANTOS,MANACAS,BELO HORIZONTE
RUA,MAURICIO CARDOSO,PLANALTO,BELO HORIZONTE
RUA,MAURICIO DE NASSAU,GLORIA,BELO HORIZONTE
RUA,MAURILIO ALBANESE NOVAES,SION,BELO HORIZONTE
RUA,MAURILIO GOMES DA SILVEIRA,MILIONARIOS (BARREIRO),BELO HORIZONTE
RUA,MAURITANIA,CANAA,BELO HORIZONTE
RUA,MAURITIA,JULIANA,BELO HORIZONTE
BECO,MAURA,CEU AZUL,BELO HORIZONTE
RUA,MAURO PATRUS DE SOUZA,CORACAO DE JESUS,BELO HORIZONTE
RUA,MAXIMILIANO FONSECA,JOAO PINHEIRO,BELO HORIZONTE
RUA,MAXIMO DE MAGALHAES ALKIMIN,JAQUELINE,BELO HORIZONTE
RUA,MECA,BETANIA,BELO HORIZONTE
RUA,MEDEIA,MINASCAIXA,BELO HORIZONTE
RUA,MEDEIROS,MINASLANDIA (P MAIO),BELO HORIZONTE
RUA,MEDEIROS DE ALBUQUERQUE,SANTA MONICA,BELO HORIZONTE
RUA,DOS MEDICOS,ALIPIO DE MELO,BELO HORIZONTE
RUA,MEDUSA,SANTA LUCIA,BELO HORIZONTE
RUA,MEYER,ALTO CAICARAS,BELO HORIZONTE
BECO,DO MEIO,NAZARE,BELO HORIZONTE
RUA,MEIRA DE VASCONCELOS,MARIA VIRGINIA,BELO HORIZONTE
BECO,MEIRELES,RIO BRANCO,BELO HORIZONTE
RUA,DO MEL,JARDIM ATLANTICO,BELO HORIZONTE
RUA,DAS MELANCIAS,VILA CLORIS,BELO HORIZONTE
RUA,MELCHIOR DIAS,TAQUARIL,BELO HORIZONTE
RUA,MELISSA,JAQUELINE,BELO HORIZONTE
RUA,MELO FRANCO,UNIAO,BELO HORIZONTE
RUA,MELO TEIXEIRA,ALVARO CAMARGOS,BELO HORIZONTE
RUA,MELODIA,CONJUNTO HELENA ANTIPOFF,BELO HORIZONTE
RUA,MELODIA,VILA SANTANA DO CAFEZAL,BELO HORIZONTE
RUA,DOS MELOES,VILA CLORIS,BELO HORIZONTE
RUA,MELRO,GOIANIA,BELO HORIZONTE
PRACA,MEM DE SA,GUTIERREZ,BELO HORIZONTE
AVE,MEM DE SA,SANTA EFIGENIA,BELO HORIZONTE
RUA,MENDANHA,PADRE EUSTAQUIO,BELO HORIZONTE
RUA,MENDES PIMENTEL,UNIVERSITARIO,BELO HORIZONTE
RUA,MENDES RIBEIRO,UNIAO,BELO HORIZONTE
BECO,MENDES,NOSSA SENHORA DA CONCEICAO,BELO HORIZONTE
RUA,MENDOZA,SAO PEDRO,BELO HORIZONTE
AVE,MENELICK DE CARVALHO,FLAVIO MARQUES LISBOA (BARREIRO),BELO HORIZONTE
RUA,DOS MENEZES,MARIA HELENA,BELO HORIZONTE
RUA,DOS MENEZES,VILA SANTA BRANCA (VENDA NOVA),BELO HORIZONTE
RUA,MENOTTI DEL PICCHIA,LEBLON (VENDA NOVA),BELO HORIZONTE
RUA,MENOTTI MUCCELLI,GLALIJA,BELO HORIZONTE
RUA,MENTA,JAQUELINE,BELO HORIZONTE
RUA,DO MERCADO,CONJUNTO SANTA MARIA,BELO HORIZONTE
RUA,MERCEDES LABORNE TAVARES,GOIANIA,BELO HORIZONTE
RUA,MERCES,PRADO,BELO HORIZONTE
BECO,DAS MERCES,POMPEIA,BELO HORIZONTE
