# TIPO,LOGRADOURO,BAIRRO,CIDADE
RUA,AFONSO CLAUDIO,RENASCENCA,BELO HORIZONTE
RUA,AFONSO COSTA REIS,BELVEDERE,BELO HORIZONTE
RUA,AFONSO CRUZ,GARCAS,BELO HORIZONTE
RUA,AFONSO DE ABREU E SILVA,GLORIA,BELO HORIZONTE
RUA,AFONSO DE CARVALHO,UNIVERSITARIO,BELO HORIZONTE
RUA,AFONSO FERREIRA GOMES,PAQUETA,BELO HORIZONTE
RUA,AFONSO LOBATO,RIBEIRO DE ABREU,BELO HORIZONTE
RUA,AFFONSO MORAIS FILHO,MANTIQUEIRA,BELO HORIZONTE
AVE,AFONSO PENA,CENTRO,BELO HORIZONTE
AVE,AFONSO PENA,CENTRO,BELO HORIZONTE
AVE,AFONSO PENA,CENTRO,BELO HORIZONTE
AVE,AFONSO PENA,CENTRO,BELO HORIZONTE
AVE,AFONSO PENA,CENTRO,BELO HORIZONTE
AVE,AFONSO PENA,CENTRO,BELO HORIZONTE
AVE,AFONSO PENA,FUNCIONARIOS,BELO HORIZONTE
AVE,AFONSO PENA,FUNCIONARIOS,BELO HORIZONTE
AVE,AFONSO PENA,FUNCIONARIOS,BELO HORIZONTE
AVE,AFONSO PENA,CRUZEIRO,BELO HORIZONTE
RUA,AFONSO PENA JUNIOR,CIDADE NOVA,BELO HORIZONTE
RUA,AFONSO PEREIRA DA SILVA,MANTIQUEIRA,BELO HORIZONTE
RUA,AFONSO RASO,OURO PRETO,BELO HORIZONTE
RUA,AFONSO RIBEIRO,PALMEIRAS,BELO HORIZONTE
RUA,AFONSO SCHIMIDT,GUARANI,BELO HORIZONTE
RUA,AFONSO TAUNAY,TUPI A,BELO HORIZONTE
AVE,AFONSO VAZ DE MELO,BARREIRO,BELO HORIZONTE
AVE,AFONSO VAZ DE MELO,TIROL (BARREIRO),BELO HORIZONTE
RUA,DOS AFONSOS,BOA VISTA,BELO HORIZONTE
RUA,AFRANIO CASTANHEIRA FRICHE,DOM JOAQUIM,BELO HORIZONTE
PRACA,AGAPANTO,LINDEIA (BARREIRO),BELO HORIZONTE
RUA,AGASSIZ,COLEGIO BATISTA,BELO HORIZONTE
RUA,AGATA,UNIAO,BELO HORIZONTE
RUA,AGENA,SANTA LUCIA,BELO HORIZONTE
RUA,AGENERIO ARAUJO,CAMARGOS,BELO HORIZONTE
RUA,AGENOR ALVES,NAZARE,BELO HORIZONTE
RUA,AGENOR DE ABREU,GOIANIA,BELO HORIZONTE
RUA,AGENOR DE PAULA ESTRELA,JAQUELINE,BELO HORIZONTE
RUA,AGENOR GOULART FILHO,OURO PRETO,BELO HORIZONTE
RUA,AGENOR JOSE DOS ANJOS,SANTA CRUZ,BELO HORIZONTE
AVE,AGENOR NONATO DE SOUZA,VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,AGENTE FLORES SIQUEIRA,SAO PAULO,BELO HORIZONTE
RUA,AGEO PIO,PALMEIRAS,BELO HORIZONTE
RUA,AGILIO CRUZ DE SOUZA,SERRANO,BELO HORIZONTE
RUA,AGNELO MACEDO,BARREIRO,BELO HORIZONTE
RUA,AGOSTINHO AZZI,SILVEIRA,BELO HORIZONTE
RUA,AGOSTINHO BRETAS,CAICARAS,BELO HORIZONTE
PRACA,AGOSTINHO MARTINI,LAGOINHA,BELO HORIZONTE
RUA,DOS AGRIMENSORES,ALIPIO DE MELO,BELO HORIZONTE
RUA,AGRIPA DE VASCONCELOS,MANGABEIRAS,BELO HORIZONTE
RUA,AGRIPINO GRIECO,TUPI B,BELO HORIZONTE
RUA,AGUA,MARIA HELENA,BELO HORIZONTE
RUA,AGUA BOA,MILIONARIOS (BARREIRO),BELO HORIZONTE
RUA,AGUA BRANCA,NOVA VISTA,BELO HORIZONTE
RUA,AGUA BRANCA,CONJUNTO TAQUARIL,BELO HORIZONTE
RUA,AGUA COMPRIDA,PIRATININGA (VENDA NOVA),BELO HORIZONTE
RUA,AGUA DA VIDA,INDEPENDENCIA (BARREIRO),BELO HORIZONTE
RUA,AGUA DOCE DO MANTENA,JARDIM LEBLON,BELO HORIZONTE
RUA,AGUA MARINHA,CANDELARIA,BELO HORIZONTE
BECO,DA AGUA,MARCOLA,BELO HORIZONTE
BECO,D'AGUA,VILA BARRAGEM SANTA LUCIA,BELO HORIZONTE
RUA,AGUANIL,VISTA ALEGRE,BELO HORIZONTE
RUA,AGUAPE,HAVAI,BELO HORIZONTE
RUA,AGUAPEI,SERRA,BELO HORIZONTE
RUA,AGUAS BELAS,ERMELINDA,BELO HORIZONTE
RUA,AGUAS DA PRATA,ITAIPU (BARREIRO),BELO HORIZONTE
RUA,AGUAS DE LINDOIA,ITAIPU (BARREIRO),BELO HORIZONTE
RUA,AGUAS DE MARCO,ETELVINA CARNEIRO,BELO HORIZONTE
RUA,AGUAS FORMOSAS,SALGADO FILHO,BELO HORIZONTE
BECO,AGUA MARINHA,SAO FRANCISCO DAS CHAGAS,BELO HORIZONTE
RUA,DAS AGUAS,INDEPENDENCIA (BARREIRO),BELO HORIZONTE
RUA,AGUIA,MIRAMAR (BARREIRO),BELO HORIZONTE
RUA,AGUIAR,DOM BOSCO,BELO HORIZONTE
BECO,AGUIAR,VENTOSA,BELO HORIZONTE
RUA,AGUINALDO BICALHO ERVILHA,HELIOPOLIS,BELO HORIZONTE
AVE,AGULHAS NEGRAS,MANGABEIRAS,BELO HORIZONTE
RUA,LARANJA LIMA,CONJUNTO PAULO VI,BELO HORIZONTE
RUA,AIDA SOUZA CASTRO,VILA OESTE,BELO HORIZONTE
RUA,AIMARA,PINDORAMA,BELO HORIZONTE
RUA,DOS AIMORES,FUNCIONARIOS,BELO HORIZONTE
RUA,DOS AIMORES,FUNCIONARIOS,BELO HORIZONTE
